team,opponent,spread,win_probability,pick_percentage,ev,future_val,result,year,week,win,opp_team,opp_spread,opp_win_probability,opp_pick_percentage,opp_ev,opp_future_val,opp_result,opp_win
NO,MIN,-5.5,68.0,1.9,1.13,0.89208253019056,W,2010,1,1,MIN,5.5,32.0,0.2,0.55,0.33043794257503,L,0
CHI,DET,-6.5,71.7,10.7,1.12,0.23798567450491,W,2010,1,1,DET,6.5,28.3,0.2,0.55,0.10245915021024,L,0
NYG,CAR,-6.5,71.7,10.5,1.12,0.61311025504224,W,2010,1,1,CAR,6.5,28.3,0.0,0.55,0.074529115535475,L,0
NE,CIN,-4.5,66.5,1.3,1.1,0.71189548992866,W,2010,1,1,CIN,4.5,33.5,0.1,0.57,0.19617084043883,L,0
TB,CLE,-3.0,60.0,1.1,1.0,0.21972728864475,W,2010,1,1,CLE,3.0,40.0,0.7,0.67,0.12517018010447,L,0
TEN,OAK,-6.5,71.7,32.6,0.96,0.29453707871502,W,2010,1,1,OAK,6.5,28.3,0.1,0.71,0.15407294610236,L,0
JAX,DEN,-2.5,56.4,0.4,0.94,0.13944387174883,W,2010,1,1,DEN,2.5,43.6,0.3,0.73,0.19311690197064,L,0
NYJ,BAL,-1.5,54.2,0.2,0.91,0.52196524653866,L,2010,1,0,BAL,1.5,45.8,0.2,0.77,0.76221408124638,W,1
PIT,ATL,2.0,44.7,0.2,0.75,0.73774535089707,W,2010,1,1,ATL,-2.0,55.3,0.6,0.92,0.64245987647283,L,0
HOU,IND,2.5,43.6,0.0,0.74,0.28521884120377,W,2010,1,1,IND,-2.5,56.4,1.7,0.93,0.69782983050077,L,0
BUF,MIA,3.0,40.0,0.1,0.73,0.033558568749801,L,2010,1,0,MIA,-3.0,60.0,8.1,0.94,0.18983321042781,W,1
SEA,SF,3.0,40.0,0.1,0.71,0.13198630878566,W,2010,1,1,SF,-3.0,60.0,5.0,0.96,0.42093020607221,L,0
KC,SD,4.5,33.5,0.1,0.69,0.43938370359855,W,2010,1,1,SD,-4.5,66.5,16.5,0.98,1.0,L,0
PHI,GB,3.0,40.0,0.0,0.68,0.56909598204406,L,2010,1,0,GB,-3.0,60.0,1.7,0.99,0.75169367578196,W,1
WAS,DAL,3.5,36.9,0.1,0.63,0.053151400584467,W,2010,1,1,DAL,-3.5,63.1,1.6,1.04,0.47516677821935,L,0
STL,ARI,4.0,34.4,0.2,0.6,0.13416334033824,L,2010,1,0,ARI,-4.0,65.6,3.6,1.07,0.14316198389011,W,1
