EV,W_pct,P_pct,Team,Team_Result,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.13,74.1,3.1,SD,W,JAX,-7.0,@SEA,-4.0,ARI,-9.5,@OAK,-7.0,@STL,-9.0,NE,-2.5,TEN,-5.0,@HOU,-3.0,BYE,,DEN,-9.0,@IND,2.0,OAK,-13.0,KC,-10.0,SF,-10.5,@CIN,-8.5,@DEN,-4.5,1.0
1.1,74.1,7.2,DAL,L,CHI,-7.0,@HOU,2.5,BYE,,TEN,-6.5,@MIN,2.0,NYG,-3.5,JAX,-6.5,@GB,7.0,@NYG,13.0,DET,-6.5,NO,4.5,@IND,6.0,PHI,4.0,WAS,-7.0,@ARI,-7.5,@PHI,-1.5,0.43282761532953
1.09,74.1,8.5,PHI,W,@DET,-7.0,@JAX,-3.0,WAS,-5.5,@SF,3.5,ATL,-1.5,@TEN,3.0,BYE,,IND,-3.0,@WAS,-3.0,NYG,-3.5,@CHI,-3.0,HOU,-8.0,@DAL,-4.0,@NYG,3.0,MIN,-14.5,DAL,1.5,0.53433424317353
1.07,71.7,5.3,ATL,W,ARI,-6.5,@NO,3.5,SF,-7.0,@CLE,-3.0,@PHI,1.5,CIN,-3.5,BYE,,TB,-8.5,BAL,0.0,@STL,-3.5,GB,-1.5,@TB,-3.0,@CAR,-9.0,@SEA,-6.5,NO,-2.5,CAR,-14.5,0.62145293692506
1.05,69.3,2.7,MIN,L,MIA,-6.0,DET,-12.0,BYE,,@NYJ,4.0,DAL,-2.0,@GB,3.0,@NE,5.5,ARI,-7.5,@CHI,-1.0,GB,3.5,@WAS,-1.5,BUF,-5.0,NYG,3.0,CHI,6.0,@PHI,14.5,@DET,3.5,0.29242146812286
1.05,68.0,0.6,TEN,L,PIT,-5.5,@NYG,3.0,DEN,-7.0,@DAL,6.5,@JAX,-3.0,PHI,-3.0,@SD,5.0,BYE,,@MIA,-1.0,WAS,-7.0,@HOU,6.0,JAX,-3.5,IND,4.0,HOU,-1.0,@KC,4.5,@IND,9.0,0.25793562644561
1.03,66.5,0.6,IND,W,NYG,-4.5,@DEN,-6.0,@JAX,-7.5,KC,-7.5,@WAS,-3.5,BYE,,HOU,-5.5,@PHI,3.0,CIN,-7.5,@NE,4.0,SD,-2.0,DAL,-6.0,@TEN,-4.0,JAX,-5.0,@OAK,-2.0,TEN,-9.0,0.69881529191209
1.02,68.0,5.0,NO,W,@SF,-5.5,ATL,-3.5,CAR,-13.5,@ARI,-7.0,@TB,-4.5,CLE,-13.0,PIT,-1.5,@CAR,-6.5,BYE,,SEA,-12.0,@DAL,-4.5,@CIN,-7.0,STL,-9.5,@BAL,2.5,@ATL,2.5,TB,-7.5,0.90368605648227
0.99,84.7,57.3,GB,W,BUF,-13.0,@CHI,-3.0,DET,-14.5,@WAS,-2.5,MIA,-3.5,MIN,-3.0,@NYJ,6.0,DAL,-7.0,BYE,,@MIN,-3.5,@ATL,1.5,SF,-9.5,@DET,-7.0,@NE,14.0,NYG,-3.5,CHI,-11.0,0.69602330301365
0.98,63.1,0.4,DEN,W,SEA,-3.5,IND,6.0,@TEN,7.0,@BAL,7.0,NYJ,3.5,OAK,-7.0,@SF,3.0,BYE,,KC,1.0,@SD,9.0,STL,-3.5,@KC,10.0,@ARI,-4.5,@OAK,7.5,HOU,2.0,SD,4.5,0.16480160185207
0.96,63.1,2.1,OAK,W,STL,-3.5,@ARI,5.0,HOU,3.5,SD,7.0,@SF,7.0,@DEN,7.0,SEA,-2.0,KC,0.0,BYE,,@PIT,7.5,MIA,-3.0,@SD,13.0,@JAX,3.5,DEN,-7.5,IND,2.0,@KC,3.5,0.12260790557338
