EV,W_pct,P_pct,Team,Team_Result,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.23,78.1,3.1,SD,L,@STL,-9.0,NE,-2.5,TEN,-5.0,@HOU,-3.0,BYE,,DEN,-9.0,@IND,2.0,OAK,-13.0,KC,-10.0,SF,-10.5,@CIN,-8.5,@DEN,-4.5,1.0
1.21,75.9,1.5,SF,W,OAK,-7.0,@CAR,-3.0,DEN,-3.0,BYE,,STL,-4.0,TB,-3.5,@ARI,-2.0,@GB,9.5,SEA,-5.0,@SD,10.5,@STL,2.5,ARI,-6.0,0.44388466456996
1.13,82.0,19.7,NYG,W,DET,-10.5,@DAL,3.5,BYE,,@SEA,-7.5,DAL,-13.0,@PHI,3.5,JAX,-7.0,WAS,-7.5,@MIN,-3.0,PHI,-3.0,@GB,3.5,@WAS,-4.5,0.7042812610362
1.06,66.1,0.5,NO,W,@TB,-4.5,CLE,-13.0,PIT,-1.5,@CAR,-6.5,BYE,,SEA,-12.0,@DAL,-4.5,@CIN,-7.0,STL,-9.5,@BAL,2.5,@ATL,2.5,TB,-7.5,0.91585769215211
1.05,65.1,0.5,HOU,W,KC,-5.0,BYE,,@IND,5.5,SD,3.0,@JAX,1.0,@NYJ,6.5,TEN,-6.0,@PHI,8.0,BAL,3.0,@TEN,1.0,@DEN,-2.0,JAX,-5.0,0.19608616792488
1.05,69.3,5.5,CHI,L,SEA,-6.5,WAS,-3.0,BYE,,@BUF,-2.5,MIN,1.0,@MIA,2.5,PHI,3.0,@DET,-4.5,NE,3.0,@MIN,-6.0,NYJ,-2.5,@GB,11.0,0.28542930340427
1.01,62.7,0.7,NYJ,W,@DEN,-3.5,BYE,,GB,-6.0,@DET,-5.5,@CLE,-3.0,HOU,-6.5,CIN,-9.5,@NE,4.0,MIA,-5.0,@PIT,3.5,@CHI,2.5,BUF,-6.5,0.59651725582344
0.99,60.8,0.2,GB,L,MIA,-3.5,MIN,-3.0,@NYJ,6.0,DAL,-7.0,BYE,,@MIN,-3.5,@ATL,1.5,SF,-9.5,@DET,-7.0,@NE,14.0,NYG,-3.5,CHI,-11.0,0.71743690557171
0.97,60.0,0.5,IND,W,@WAS,-3.5,BYE,,HOU,-5.5,@PHI,3.0,CIN,-7.5,@NE,4.0,SD,-2.0,DAL,-6.0,@TEN,-4.0,JAX,-5.0,@OAK,-2.0,TEN,-9.0,0.64692142982978
0.95,86.5,66.1,PIT,W,CLE,-14.0,@MIA,-3.0,@NO,1.5,@CIN,-5.5,NE,-5.0,OAK,-7.5,@BUF,-6.0,@BAL,3.0,CIN,-9.0,NYJ,-3.5,CAR,-15.0,@CLE,-5.5,0.92975220871699
0.92,57.2,0.5,TEN,W,@JAX,-3.0,PHI,-3.0,@SD,5.0,BYE,,@MIA,-1.0,WAS,-7.0,@HOU,6.0,JAX,-3.5,IND,4.0,HOU,-1.0,@KC,4.5,@IND,9.0,0.23861415331428
0.9,55.2,0.1,NE,W,BAL,-2.5,@SD,2.5,MIN,-5.5,@CLE,-4.0,@PIT,5.0,IND,-4.0,@DET,-7.0,NYJ,-4.0,@CHI,-3.0,GB,-14.0,@BUF,-7.5,MIA,-5.5,0.88009551936342
0.88,54.2,0.1,PHI,W,ATL,-1.5,@TEN,3.0,BYE,,IND,-3.0,@WAS,-3.0,NYG,-3.5,@CHI,-3.0,HOU,-8.0,@DAL,-4.0,@NYG,3.0,MIN,-14.5,DAL,1.5,0.6507950860107
0.87,53.8,0.2,MIN,W,DAL,-2.0,@GB,3.0,@NE,5.5,ARI,-7.5,@CHI,-1.0,GB,3.5,@WAS,-1.5,BUF,-5.0,NYG,3.0,CHI,6.0,@PHI,14.5,@DET,3.5,0.24465222074145
