EV,W_pct,P_pct,Team,Team_Result,1,1_spread,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.16,78.8,9.0,SD,W,MIN,-9.0,@NE,7.0,KC,-14.5,MIA,-7.0,@DEN,-3.5,BYE,,@NYJ,-1.0,@KC,-3.0,GB,5.5,OAK,-7.0,@CHI,4.5,DEN,-4.5,@JAX,-3.0,BUF,-7.0,BAL,1.0,@DET,-1.0,@OAK,2.5,0.39725913313067
1.15,78.1,8.2,HOU,W,IND,-9.0,@MIA,-3.0,@NO,4.0,PIT,-3.5,OAK,-4.5,@BAL,7.0,@TEN,3.0,JAX,-10.0,CLE,-10.5,@TB,-3.5,BYE,,@JAX,-6.0,ATL,1.0,@CIN,2.5,CAR,-6.0,@IND,-7.0,TEN,1.0,0.44744013360621
1.08,71.2,0.8,NYJ,W,DAL,-6.5,JAX,-9.0,@OAK,-3.0,@BAL,5.5,@NE,7.5,MIA,-7.0,SD,1.0,BYE,,@BUF,2.5,NE,-2.5,@DEN,-6.0,BUF,-9.5,@WAS,-3.0,KC,-10.5,@PHI,3.0,NYG,-1.5,@MIA,2.0,0.41945642762222
1.06,70.5,1.4,SF,W,SEA,-6.0,DAL,3.0,@CIN,2.5,@PHI,10.0,TB,-2.5,@DET,5.5,BYE,,CLE,-9.0,@WAS,-5.0,NYG,-4.0,ARI,-10.0,@BAL,3.5,STL,-14.0,@ARI,-3.5,PIT,-3.0,@SEA,-1.5,@STL,-12.5,0.50408760088335
1.06,75.0,15.0,NE,W,@MIA,-7.0,SD,-7.0,@BUF,-7.0,@OAK,-6.5,NYJ,-7.5,DAL,-6.5,BYE,,@PIT,-3.0,NYG,-9.5,@NYJ,2.5,KC,-17.0,@PHI,-3.0,IND,-20.5,@WAS,-7.0,@DEN,-7.0,MIA,-7.0,BUF,-10.0,0.88383795223487
1.04,68.8,1.1,GB,W,NO,-4.5,@CAR,-10.5,@CHI,-4.5,DEN,-12.0,@ATL,-6.0,STL,-14.0,@MIN,-10.0,BYE,,@SD,-5.5,MIN,-12.5,TB,-13.5,@DET,-4.5,@NYG,-7.0,OAK,-11.5,@KC,-10.5,CHI,-13.0,DET,6.5,1.0
1.0,71.2,13.9,CLE,L,CIN,-6.5,@IND,-2.0,MIA,-2.0,TEN,1.0,BYE,,@OAK,6.5,SEA,-3.0,@SF,9.0,@HOU,10.5,STL,-2.5,JAX,-1.0,@CIN,6.5,BAL,7.0,@PIT,14.0,@ARI,6.0,@BAL,11.0,PIT,7.0,0.082502472908413
0.98,71.9,20.1,ARI,W,CAR,-6.5,@WAS,3.5,@SEA,-3.0,NYG,1.5,@MIN,3.5,BYE,,PIT,4.0,@BAL,12.0,STL,-1.0,@PHI,13.5,@SF,10.0,@STL,1.0,DAL,4.0,SF,3.5,CLE,-6.0,@CIN,4.5,SEA,-2.5,0.091630338956769
0.94,64.5,6.1,PHI,W,@STL,-4.0,@ATL,-2.5,NYG,-9.0,SF,-10.0,@BUF,-3.0,@WAS,-3.0,BYE,,DAL,-3.0,CHI,-9.0,ARI,-13.5,@NYG,6.0,NE,3.0,@SEA,-3.0,@MIA,3.0,NYJ,-3.0,@DAL,-1.0,WAS,-7.0,0.50958441569609
0.94,62.5,1.3,DEN,L,OAK,-3.0,CIN,-3.0,@TEN,7.0,@GB,12.0,SD,3.5,BYE,,@MIA,-1.0,DET,3.0,@OAK,7.0,@KC,3.0,NYJ,6.0,@SD,4.5,@MIN,1.0,CHI,-3.5,NE,7.0,@BUF,-3.0,KC,-1.0,0.088534404856356
0.93,67.6,16.9,KC,L,BUF,-5.0,@DET,9.0,@SD,14.5,MIN,3.0,@IND,1.0,BYE,,@OAK,3.5,SD,3.0,MIA,-4.5,DEN,-3.0,@NE,17.0,PIT,10.5,@CHI,9.0,@NYJ,10.5,GB,10.5,OAK,-2.5,@DEN,1.0,0.098851648488503
0.82,53.8,0.6,TB,L,DET,-1.0,@MIN,2.5,ATL,-1.0,IND,-10.0,@SF,2.5,NO,6.0,CHI,1.5,BYE,,@NO,9.0,HOU,3.5,@GB,13.5,@TEN,3.0,CAR,1.0,@JAX,-3.0,DAL,7.0,@CAR,9.0,@ATL,10.0,0.10401230141865
0.8,52.8,0.8,ATL,L,@CHI,-2.0,PHI,2.5,@TB,1.0,@SEA,-6.0,GB,6.0,CAR,-3.5,@DET,4.5,BYE,,@IND,-6.5,NO,-1.0,TEN,-6.0,MIN,-10.0,@HOU,-1.0,@CAR,-3.0,JAX,-13.5,@NO,7.0,TB,-10.0,0.45944558960494
0.79,52.8,1.7,NYG,L,@WAS,-2.0,STL,-7.0,@PHI,9.0,@ARI,-1.5,SEA,-10.0,BUF,-3.0,BYE,,MIA,-9.5,@NE,9.5,@SF,4.0,PHI,-6.0,@NO,7.0,GB,7.0,@DAL,4.5,WAS,-5.5,@NYJ,1.5,DAL,-3.0,0.36771760951249
0.78,51.4,0.1,BAL,W,PIT,-1.0,@TEN,-6.0,@STL,-6.0,NYJ,-5.5,BYE,,HOU,-7.0,@JAX,-10.0,ARI,-12.0,@PIT,3.5,@SEA,-7.0,CIN,-7.0,SF,-3.5,@CLE,-7.0,IND,-16.5,@SD,-1.0,CLE,-11.0,@CIN,-2.5,0.78839860756148
0.77,50.2,0.1,JAX,W,TEN,-1.0,@NYJ,9.0,@CAR,3.0,NO,7.0,CIN,1.0,@PIT,12.5,BAL,10.0,@HOU,10.0,BYE,,@IND,-3.0,@CLE,1.0,HOU,6.0,SD,3.0,TB,3.0,@ATL,13.5,@TEN,8.0,IND,-3.0,0.046269618991805
0.75,49.8,0.8,TEN,L,@JAX,1.0,BAL,6.0,DEN,-7.0,@CLE,-1.0,@PIT,3.0,BYE,,HOU,-3.0,IND,-9.0,CIN,-1.5,@CAR,3.5,@ATL,6.0,TB,-3.0,@BUF,1.0,NO,3.5,@IND,-6.5,JAX,-8.0,@HOU,-1.0,0.3224158980367
0.74,48.6,0.3,PIT,L,@BAL,1.0,SEA,-14.0,@IND,-11.0,@HOU,3.5,TEN,-3.0,JAX,-12.5,@ARI,-4.0,NE,3.0,BAL,-3.5,@CIN,-3.5,BYE,,@KC,-10.5,CIN,-7.0,CLE,-14.0,@SF,3.0,STL,-10.0,@CLE,-7.0,0.77158758359735
0.73,47.2,0.1,WAS,W,NYG,2.0,ARI,-3.5,@DAL,3.5,@STL,-3.0,BYE,,PHI,3.0,@CAR,1.5,@BUF,4.0,SF,5.0,@MIA,4.0,DAL,7.0,@SEA,3.0,NYJ,3.0,NE,7.0,@NYG,5.5,MIN,-6.0,@PHI,7.0,0.10321058762587
0.72,47.2,0.1,CHI,W,ATL,2.0,@NO,6.5,GB,4.5,CAR,-6.5,@DET,6.5,MIN,-1.0,@TB,-1.5,BYE,,@PHI,9.0,DET,-2.5,SD,-4.5,@OAK,3.0,KC,-9.0,@DEN,3.5,SEA,-3.5,@GB,13.0,@MIN,1.5,0.23465087725001
0.7,46.2,0.7,DET,W,@TB,1.0,KC,-9.0,@MIN,-3.0,@DAL,2.5,CHI,-6.5,SF,-5.5,ATL,-4.5,@DEN,-3.0,BYE,,@CHI,2.5,CAR,-7.0,GB,4.5,@NO,9.0,MIN,-10.0,@OAK,-1.0,SD,1.0,@GB,-6.5,0.46921304333574
0.59,32.4,0.1,BUF,W,@KC,5.0,OAK,-4.0,NE,7.0,@CIN,-3.0,PHI,3.0,@NYG,3.0,BYE,,WAS,-4.0,NYJ,-2.5,@DAL,4.0,@MIA,3.0,@NYJ,9.5,TEN,-1.0,@SD,7.0,MIA,1.0,DEN,3.0,@NE,10.0,0.10999490290902
0.58,37.5,0.3,OAK,W,@DEN,3.0,@BUF,4.0,NYJ,3.0,NE,6.5,@HOU,4.5,CLE,-6.5,KC,-3.5,BYE,,DEN,-7.0,@SD,7.0,@MIN,1.5,CHI,-3.0,@MIA,3.5,@GB,11.5,DET,1.0,@KC,2.5,SD,-2.5,0.18042644953543
0.58,35.5,0.0,STL,L,PHI,4.0,@NYG,7.0,BAL,6.0,WAS,3.0,BYE,,@GB,14.0,@DAL,14.0,NO,13.5,@ARI,1.0,@CLE,2.5,SEA,-3.0,ARI,-1.0,@SF,14.0,@SEA,9.0,CIN,7.0,@PIT,10.0,SF,12.5,0.035456027613476
0.54,28.1,0.0,CAR,L,@ARI,6.5,GB,10.5,JAX,-3.0,@CHI,6.5,NO,6.5,@ATL,3.5,WAS,-1.5,MIN,-3.0,BYE,,TEN,-3.5,@DET,7.0,@IND,-3.5,@TB,-1.0,ATL,3.0,@HOU,6.0,TB,-9.0,@NO,7.0,0.22185624864229
0.52,28.8,0.1,CIN,W,@CLE,6.5,@DEN,3.0,SF,-2.5,BUF,3.0,@JAX,-1.0,IND,-5.0,BYE,,@SEA,-1.0,@TEN,1.5,PIT,3.5,@BAL,7.0,CLE,-6.5,@PIT,7.0,HOU,-2.5,@STL,-7.0,ARI,-4.5,BAL,2.5,0.25297513909529
0.48,31.2,0.2,NO,L,@GB,4.5,CHI,-6.5,HOU,-4.0,@JAX,-7.0,@CAR,-6.5,@TB,-6.0,IND,-13.5,@STL,-13.5,TB,-9.0,@ATL,1.0,BYE,,NYG,-7.0,DET,-9.0,@TEN,-3.5,@MIN,-7.0,ATL,-7.0,CAR,-7.0,0.85033308373169
0.46,25.0,0.0,MIA,L,NE,7.0,HOU,3.0,@CLE,2.0,@SD,7.0,BYE,,@NYJ,7.0,DEN,1.0,@NYG,9.5,@KC,4.5,WAS,-4.0,BUF,-3.0,@DAL,7.0,OAK,-3.5,PHI,-3.0,@BUF,-1.0,@NE,7.0,NYJ,-2.0,0.11576825747628
0.46,29.5,0.1,SEA,L,@SF,6.0,@PIT,14.0,ARI,3.0,ATL,6.0,@NYG,10.0,BYE,,@CLE,3.0,CIN,1.0,@DAL,11.0,BAL,7.0,@STL,3.0,WAS,-3.0,PHI,3.0,STL,-9.0,@CHI,3.5,SF,1.5,@ARI,2.5,0.086500496170712
0.44,28.8,0.1,DAL,L,@NYJ,6.5,@SF,-3.0,WAS,-3.5,DET,-2.5,BYE,,@NE,6.5,STL,-14.0,@PHI,3.0,SEA,-11.0,BUF,-4.0,@WAS,-7.0,MIA,-7.0,@ARI,-4.0,NYG,-4.5,@TB,-7.0,PHI,1.0,@NYG,3.0,0.555604901591
