EV,W_pct,P_pct,Team,Team_Result,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.08,75.2,12.0,NO,W,MIA,-7.0,@CHI,1.0,@NE,1.0,BYE,,BUF,-10.5,@NYJ,-5.5,DAL,-6.0,SF,-3.5,@ATL,-7.5,@SEA,6.5,CAR,-3.0,@STL,-6.5,@CAR,3.5,TB,-11.0,0.54872817043772
1.03,77.7,26.0,IND,W,@JAX,-9.5,SEA,3.0,@SD,1.0,DEN,6.0,BYE,,@HOU,1.0,STL,-7.5,@TEN,-2.5,@ARI,3.5,TEN,-3.5,@CIN,7.0,HOU,-6.0,@KC,7.5,JAX,-11.0,0.31765946887385
1.03,80.2,34.1,DEN,W,PHI,-10.5,@DAL,-7.5,JAX,-26.5,@IND,-6.0,WAS,-11.0,BYE,,@SD,-7.0,KC,-7.5,@NE,-1.0,@KC,-5.5,TEN,-13.0,SD,-10.0,@HOU,-10.0,@OAK,-10.0,1.0
0.95,62.7,1.3,WAS,W,@OAK,-3.5,BYE,,@DAL,5.0,CHI,1.0,@DEN,11.0,SD,-1.0,@MIN,-1.0,@PHI,5.0,SF,5.5,NYG,-1.0,KC,3.5,@ATL,5.5,DAL,3.0,@NYG,3.5,0.015604929389796
0.94,62.6,2.7,BAL,L,@BUF,-3.5,@MIA,2.5,GB,1.0,@PIT,1.0,BYE,,@CLE,-1.0,CIN,-1.0,@CHI,3.0,NYJ,-4.0,PIT,-3.0,MIN,-6.0,@DET,4.5,NE,1.0,@CIN,6.5,0.16197578210846
0.94,62.3,2.3,TEN,W,NYJ,-3.5,KC,2.5,@SEA,11.0,SF,3.5,BYE,,@STL,-3.0,JAX,-11.5,IND,2.5,@OAK,-2.5,@IND,3.5,@DEN,13.0,ARI,2.5,@JAX,-4.0,HOU,-7.0,0.28225398934005
0.92,61.4,3.1,SF,W,@STL,-3.0,HOU,-4.0,ARI,-10.0,@TEN,-3.5,@JAX,-16.0,BYE,,CAR,-5.5,@NO,3.5,@WAS,-5.5,STL,-7.5,SEA,-2.5,@TB,-4.5,ATL,-14.0,@ARI,3.0,0.70778885055649
0.92,62.0,4.6,KC,W,NYG,-3.5,@TEN,-2.5,OAK,-7.5,HOU,-7.0,CLE,-7.0,@BUF,-4.5,BYE,,@DEN,7.5,SD,-3.5,DEN,5.5,@WAS,-3.5,@OAK,-6.0,IND,-7.5,@SD,10.5,0.52303044163704
0.91,59.3,0.6,PIT,L,@MIN,-3.0,BYE,,@NYJ,-1.0,BAL,-1.0,@OAK,-2.5,@NE,6.0,BUF,-3.0,DET,3.0,@CLE,2.5,@BAL,3.0,MIA,-3.0,CIN,2.0,@GB,-1.0,CLE,-9.5,0.19220102566723
0.9,58.6,0.2,DET,W,CHI,-3.0,@GB,10.0,@CLE,-1.0,CIN,-2.5,DAL,-3.0,BYE,,@CHI,-1.0,@PIT,-3.0,TB,-7.5,GB,-6.5,@PHI,2.5,BAL,-4.5,NYG,-9.5,@MIN,-1.5,0.41539726173201
0.9,58.6,0.3,ATL,L,NE,-2.5,NYJ,-10.0,BYE,,TB,-6.5,@ARI,2.5,@CAR,10.0,SEA,3.5,@TB,1.0,NO,7.5,@BUF,4.5,@GB,3.5,WAS,-5.5,@SF,14.0,CAR,4.5,0.22735446386017
0.89,63.3,10.8,CIN,L,@CLE,-3.5,NE,1.0,@BUF,-6.0,@DET,2.5,NYJ,-6.0,@MIA,-3.0,@BAL,1.0,CLE,-4.5,BYE,,@SD,-2.5,IND,-7.0,@PIT,-2.0,MIN,-7.5,BAL,-6.5,0.45754391488367
0.86,55.9,0.3,TB,L,ARI,-2.5,BYE,,PHI,2.5,@ATL,6.5,CAR,6.5,@SEA,15.5,MIA,1.0,ATL,-1.0,@DET,7.5,@CAR,7.5,BUF,-3.0,SF,4.5,@STL,3.5,@NO,11.0,0.048596375922328
0.8,52.0,0.3,SEA,W,@HOU,-1.0,@IND,-3.0,TEN,-11.0,@ARI,-4.5,@STL,-13.0,TB,-15.5,@ATL,-3.5,MIN,-13.0,BYE,,NO,-6.5,@SF,2.5,@NYG,-9.5,ARI,-8.0,STL,-13.0,0.93349585285186
0.77,50.2,0.3,DAL,L,@SD,-1.0,DEN,7.5,WAS,-5.0,@PHI,3.0,@DET,3.0,MIN,-10.0,@NO,6.0,BYE,,@NYG,2.5,OAK,-9.5,@CHI,2.0,GB,-5.0,@WAS,-3.0,PHI,7.0,0.33471954819761
0.77,49.8,0.1,SD,W,DAL,1.0,@OAK,-6.0,IND,-1.0,@JAX,-7.5,BYE,,@WAS,1.0,DEN,7.0,@MIA,-2.5,@KC,3.5,CIN,2.5,NYG,-4.0,@DEN,10.0,OAK,-10.0,KC,-10.5,0.3958626259567
0.74,48.0,0.0,HOU,L,SEA,1.0,@SF,4.0,STL,-9.5,@KC,7.0,BYE,,IND,-1.0,@ARI,3.5,OAK,-10.0,JAX,-10.5,NE,7.0,@JAX,-3.0,@IND,6.0,DEN,10.0,@TEN,7.0,0.31614464704995
0.68,44.1,0.3,ARI,W,@TB,2.5,CAR,3.0,@SF,10.0,SEA,4.5,ATL,-2.5,BYE,,HOU,-3.5,@JAX,-9.5,IND,-3.5,@PHI,3.5,STL,-4.0,@TEN,-2.5,@SEA,8.0,SF,-3.0,0.29668253481365
0.64,36.7,0.0,CLE,W,CIN,3.5,BUF,-3.5,DET,1.0,@GB,9.5,@KC,7.0,BAL,1.0,BYE,,@CIN,4.5,PIT,-2.5,JAX,-7.5,@NE,10.0,CHI,-1.0,@NYJ,2.5,@PIT,9.5,0.14672002688345
0.64,41.4,0.1,NE,W,@ATL,2.5,@CIN,-1.0,NO,-1.0,@NYJ,-3.5,MIA,-6.5,PIT,-6.0,BYE,,@CAR,3.0,DEN,1.0,@HOU,-7.0,CLE,-10.0,@MIA,2.5,@BAL,-1.0,BUF,-7.5,0.44356938469455
0.64,41.4,0.2,CHI,L,@DET,3.0,NO,-1.0,NYG,-9.5,@WAS,-1.0,BYE,,@GB,10.0,DET,1.0,BAL,-3.0,@STL,1.0,@MIN,1.0,DAL,-2.0,@CLE,1.0,@PHI,2.5,GB,3.0,0.1510721709025
0.63,40.7,0.2,MIN,W,PIT,3.0,BYE,,CAR,-2.5,@NYG,4.0,GB,7.5,@DAL,10.0,WAS,1.0,@SEA,13.0,@GB,5.5,CHI,-1.0,@BAL,6.0,PHI,6.5,@CIN,7.5,DET,1.5,0.032492526549527
0.62,38.0,0.1,NYG,L,@KC,3.5,PHI,1.0,@CHI,9.5,MIN,-4.0,@PHI,5.5,BYE,,OAK,-7.5,GB,-3.5,DAL,-2.5,@WAS,1.0,@SD,4.0,SEA,9.5,@DET,9.5,WAS,-3.5,0.22570520040996
0.62,38.6,0.0,STL,L,SF,3.0,JAX,-11.0,@HOU,9.5,@CAR,7.5,SEA,13.0,TEN,3.0,@IND,7.5,BYE,,CHI,-1.0,@SF,7.5,@ARI,4.0,NO,6.5,TB,-3.5,@SEA,13.0,0.15730798387854
0.6,37.7,0.0,NYJ,L,@TEN,3.5,@ATL,10.0,PIT,1.0,NE,3.5,@CIN,6.0,NO,5.5,BYE,,@BUF,-1.0,@BAL,4.0,MIA,1.0,OAK,-3.0,@CAR,10.0,CLE,-2.5,@MIA,7.5,0.058593943885962
0.59,37.4,0.0,BUF,W,BAL,3.5,@CLE,3.5,CIN,6.0,@MIA,6.0,@NO,10.5,KC,4.5,@PIT,3.0,NYJ,1.0,BYE,,ATL,-4.5,@TB,3.0,@JAX,-4.0,MIA,-1.0,@NE,7.5,0.10022015052806
0.58,37.3,0.0,OAK,L,WAS,3.5,SD,6.0,@KC,7.5,BYE,,PIT,2.5,PHI,-1.0,@NYG,7.5,@HOU,10.0,TEN,2.5,@DAL,9.5,@NYJ,3.0,KC,6.0,@SD,10.0,DEN,10.0,0.0
0.5,19.8,0.0,PHI,L,@DEN,10.5,@NYG,-1.0,@TB,-2.5,DAL,-3.0,NYG,-5.5,@OAK,1.0,@GB,-1.0,WAS,-5.0,BYE,,ARI,-3.5,DET,-2.5,@MIN,-6.5,CHI,-2.5,@DAL,-7.0,0.41381089479853
0.5,22.3,0.0,JAX,L,IND,9.5,@STL,11.0,@DEN,26.5,SD,7.5,SF,16.0,BYE,,@TEN,11.5,ARI,9.5,@HOU,10.5,@CLE,7.5,HOU,3.0,BUF,4.0,TEN,4.0,@IND,11.0,0.0
0.46,24.8,0.0,MIA,L,@NO,7.0,BAL,-2.5,BYE,,BUF,-6.0,@NE,6.5,CIN,3.0,@TB,-1.0,SD,2.5,CAR,4.5,@NYJ,-1.0,@PIT,3.0,NE,-2.5,@BUF,1.0,NYJ,-7.5,0.19274386594647
,,,CAR,,BYE,,@ARI,-3.0,@MIN,2.5,STL,-7.5,@TB,-6.5,ATL,-10.0,@SF,5.5,NE,-3.0,@MIA,-4.5,TB,-7.5,@NO,3.0,NYJ,-10.0,NO,-3.5,@ATL,-4.5,0.61154981798378
,,,GB,,BYE,,DET,-10.0,@BAL,-1.0,CLE,-9.5,@MIN,-7.5,CHI,-10.0,PHI,1.0,@NYG,3.5,MIN,-5.5,@DET,6.5,ATL,-3.5,@DAL,5.0,PIT,1.0,@CHI,-3.0,0.4981223815894
