EV,W_pct,P_pct,Team,Team_Result,16,16_spread,17,17_spread,Future_Val
1.2,87.9,16.1,SF,W,ATL,-14.0,@ARI,3.0,0.0
1.11,79.7,5.0,DEN,W,@HOU,-10.0,@OAK,-10.0,0.91956021686022
1.11,79.0,3.8,SEA,L,ARI,-8.0,STL,-13.0,1.0
1.1,79.9,8.1,DET,L,NYG,-9.5,@MIN,-1.5,0.11241517844451
1.06,75.7,2.1,KC,L,IND,-7.5,@SD,10.5,0.0
1.01,75.7,14.1,CIN,W,MIN,-7.5,BAL,-6.5,0.64707898615202
1.0,80.2,30.9,SD,W,OAK,-10.0,KC,-10.5,0.93066562858696
0.91,65.3,2.5,TEN,W,@JAX,-4.0,HOU,-7.0,0.65167559516238
0.89,62.3,0.1,CAR,W,NO,-3.5,@ATL,-4.5,0.50544970363215
0.86,61.7,2.5,STL,W,TB,-3.5,@SEA,13.0,0.0
0.86,60.9,0.7,DAL,W,@WAS,-3.0,PHI,7.0,0.0
0.82,57.8,0.9,PHI,W,CHI,-2.5,@DAL,-7.0,0.66126656168269
0.77,55.2,2.7,NYJ,W,CLE,-2.5,@MIA,7.5,0.0
0.75,51.7,0.2,PIT,W,@GB,-1.0,CLE,-9.5,0.78447979667024
0.73,51.7,0.3,NE,W,@BAL,-1.0,BUF,-7.5,0.71192305210099
0.73,50.9,0.6,BUF,W,MIA,-1.0,@NE,7.5,0.0
0.69,49.1,2.3,MIA,L,@BUF,1.0,NYJ,-7.5,0.67063063768457
0.68,48.3,0.2,BAL,L,NE,1.0,@CIN,6.5,0.0
0.67,48.3,3.1,GB,L,PIT,1.0,@CHI,-3.0,0.21987167514199
0.65,44.8,0.6,CLE,L,@NYJ,2.5,@PIT,9.5,0.0
0.6,42.2,0.8,CHI,L,@PHI,2.5,GB,3.0,0.0
0.56,39.1,0.4,WAS,L,DAL,3.0,@NYG,3.5,0.0
0.55,38.3,0.3,TB,L,@STL,3.5,@NO,11.0,0.0
0.53,37.7,0.6,NO,L,@CAR,3.5,TB,-11.0,0.93066562858696
0.5,34.7,0.1,JAX,L,TEN,4.0,@IND,11.0,0.0
0.41,19.8,0.1,OAK,L,@SD,10.0,DEN,10.0,0.0
0.41,24.3,0.3,MIN,L,@CIN,7.5,DET,1.5,0.0
0.35,24.3,0.3,IND,W,@KC,7.5,JAX,-11.0,0.95020935840588
0.32,20.1,0.3,NYG,W,@DET,9.5,WAS,-3.5,0.3744955998173
0.31,21.0,0.0,ARI,W,@SEA,8.0,SF,-3.0,0.21776977847878
0.31,20.3,0.0,HOU,L,DEN,10.0,@TEN,7.0,0.0
0.22,12.1,0.1,ATL,L,@SF,14.0,CAR,4.5,0.0
