EV,W_pct,P_pct,Team,Team_Result,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.08,86.8,32.4,BAL,W,JAX,-14.0,@HOU,-6.5,CLE,-14.0,0.99005360168337
1.06,78.8,5.4,SEA,W,SF,-10.0,@ARI,-9.5,STL,-11.0,0.98000152464266
1.04,77.7,5.5,NE,W,MIA,-8.5,@NYJ,-10.0,BUF,-5.5,0.77247303034161
1.03,76.9,5.9,DET,W,MIN,-8.0,@CHI,-10.0,@GB,8.0,0.49533562504086
1.0,81.3,28.1,KC,W,OAK,-11.0,@PIT,2.5,SD,-3.0,0.13985964327346
0.99,72.6,1.1,IND,W,HOU,-7.0,@DAL,3.5,@TEN,-7.5,0.38726723033662
0.96,70.5,1.0,STL,L,ARI,-6.0,NYG,-6.5,@SEA,11.0,0.35647400967285
0.95,73.2,10.3,NYG,W,WAS,-7.0,@STL,6.5,PHI,1.0,0.011325456977076
0.89,65.3,0.2,DEN,W,@SD,-4.5,@CIN,-3.5,OAK,-15.5,0.87863828222256
0.85,62.3,0.4,PHI,L,DAL,-3.5,@WAS,-7.5,@NYG,-1.0,0.36712756770642
0.85,62.0,0.2,NO,W,@CHI,-3.0,ATL,-5.5,@TB,-5.5,0.60278970534822
0.84,61.9,0.7,NYJ,W,@TEN,-3.5,NE,10.0,@MIA,7.0,0.0
0.84,62.7,3.4,CAR,W,TB,-3.5,CLE,-5.5,@ATL,3.0,0.30211194412743
0.84,61.9,2.1,GB,L,@BUF,-3.0,@TB,-11.5,DET,-8.0,1.0
0.8,58.4,0.5,PIT,W,@ATL,-3.0,KC,-2.5,CIN,-3.0,0.24939398093066
0.75,54.8,0.2,CLE,L,CIN,-2.5,@CAR,5.5,@BAL,14.0,0.0
0.62,45.2,0.4,CIN,W,@CLE,2.5,DEN,3.5,@PIT,3.0,0.0
0.57,41.6,0.3,ATL,L,PIT,3.0,@NO,5.5,CAR,-3.0,0.12027232296741
0.53,38.1,0.1,BUF,W,GB,3.0,@OAK,-7.0,@NE,5.5,0.34460930956047
0.53,37.3,0.1,TB,L,@CAR,3.5,GB,11.5,NO,5.5,0.0
0.52,38.1,0.2,TEN,L,NYJ,3.5,@JAX,4.5,IND,7.5,0.0
0.52,38.0,0.1,CHI,L,NO,3.0,DET,10.0,@MIN,7.0,0.0
0.52,37.7,0.1,DAL,W,@PHI,3.5,IND,-3.5,@WAS,-6.0,0.52297646178922
0.48,34.7,0.0,SD,L,DEN,4.5,@SF,2.0,@KC,3.0,0.0
0.41,26.8,0.1,WAS,L,@NYG,7.0,PHI,7.5,DAL,6.0,0.0
0.4,29.5,0.9,ARI,W,@STL,6.0,SEA,9.5,@SF,6.5,0.0
0.38,27.4,0.1,HOU,L,@IND,7.0,BAL,6.5,JAX,-8.0,0.44340117675158
0.37,18.7,0.1,OAK,L,@KC,11.0,BUF,7.0,@DEN,15.5,0.0
0.34,23.1,0.1,MIN,L,@DET,8.0,@MIA,4.5,CHI,-7.0,0.400598558772
0.33,22.3,0.0,MIA,L,@NE,8.5,MIN,-4.5,NYJ,-7.0,0.65148691574823
0.31,21.2,0.0,SF,L,@SEA,10.0,SD,-2.0,ARI,-6.5,0.40133499566913
0.29,13.2,0.0,JAX,L,@BAL,14.0,TEN,-4.5,@HOU,8.0,0.25378602779817
