EV,W_pct,P_pct,Team,Team_Result,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.15,79.0,8.2,NE,W,MIA,-8.0,WAS,-14.0,@NYG,-7.5,BUF,-10.0,@DEN,-3.0,PHI,-9.5,@HOU,-9.5,TEN,-15.0,@NYJ,-4.0,@MIA,-6.0,1.0
1.07,77.7,19.0,ATL,L,TB,-8.0,@SF,-7.0,BYE,,IND,-6.0,MIN,-3.5,@TB,-6.0,@CAR,3.0,@JAX,-6.0,CAR,-3.0,NO,-6.5,0.515382197846
1.0,73.2,17.8,ARI,W,@CLE,-7.0,BYE,,@SEA,2.0,CIN,-3.0,@SF,-9.0,@STL,-3.0,MIN,-6.0,@PHI,-2.0,GB,-1.5,SEA,-3.0,0.34332805750321
1.0,76.4,28.3,STL,W,SF,-7.5,@MIN,2.5,CHI,-7.0,@BAL,-0.5,@CIN,6.5,ARI,3.0,DET,-6.5,TB,-7.0,@SEA,6.0,@SF,-3.5,0.34137312218555
0.99,65.9,0.8,BAL,W,SD,-4.5,BYE,,JAX,-4.5,STL,0.5,@CLE,0.5,@MIA,4.0,SEA,4.0,KC,-1.5,PIT,1.5,@CIN,8.0,0.07900617154396
0.97,65.9,3.9,SEA,W,@DAL,-4.5,BYE,,ARI,-2.0,SF,-13.0,PIT,-4.0,@MIN,-1.5,@BAL,-4.0,CLE,-9.5,STL,-6.0,@ARI,3.0,0.51790580718495
0.95,67.1,10.2,CAR,W,IND,-5.0,GB,2.5,@TEN,-5.0,WAS,-8.0,@DAL,-3.5,@NO,-3.0,ATL,-3.0,@NYG,-2.5,@ATL,3.0,TB,-9.5,0.46405124691091
0.93,62.0,1.5,NYJ,L,@OAK,-3.0,JAX,-9.0,BUF,-4.0,@HOU,-3.0,MIA,-3.5,@NYG,-1.0,TEN,-8.0,@DAL,-3.0,NE,4.0,@BUF,0.5,0.42571062343955
0.93,62.0,1.6,HOU,W,TEN,-3.5,BYE,,@CIN,9.5,NYJ,3.0,NO,-2.5,@BUF,5.0,NE,9.5,@IND,4.0,@TEN,1.0,JAX,-3.5,0.079634464326062
0.91,61.4,2.8,KC,W,DET,-3.0,BYE,,@DEN,6.5,@SD,1.5,BUF,-2.5,@OAK,1.0,SD,-3.5,@BAL,1.5,CLE,-4.5,OAK,-3.5,0.1928087800686
