EV,W_pct,P_pct,Team,Team_Result,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.23,80.1,7.9,SEA,W,SF,-10.5,@NYJ,-1.0,BYE,,ATL,-8.0,@ARI,3.0,@NO,-6.0,BUF,-9.5,@NE,2.5,PHI,-7.5,@TB,-3.5,CAR,-2.0,@GB,3.0,LAR,-6.5,ARI,-3.0,@SF,-7.0,0.69400617365472
1.07,69.7,5.2,CAR,L,MIN,-6.0,@ATL,-3.5,TB,-8.0,@NO,-6.5,BYE,,ARI,-3.0,@LAR,-6.5,KC,-4.0,NO,-10.5,@OAK,-3.5,@SEA,2.0,SD,-9.5,@WAS,-4.5,ATL,-9.5,@TB,-3.5,0.94917455930108
1.04,69.7,10.5,GB,W,DET,-6.0,BYE,,NYG,-6.5,DAL,-5.5,CHI,-10.5,@ATL,-4.5,IND,-8.0,@TEN,-7.0,@WAS,-4.0,@PHI,-4.0,HOU,-6.5,SEA,-3.0,@CHI,-6.5,MIN,-4.0,@DET,-4.0,1.0
1.01,63.3,0.2,CIN,L,DEN,-3.5,MIA,-7.0,@DAL,1.5,@NE,3.5,CLE,-13.5,WAS,-6.5,BYE,,@NYG,0.5,BUF,-7.5,@BAL,0.5,PHI,-6.0,@CLE,-9.5,PIT,0.5,@HOU,1.5,BAL,-3.5,0.68431336105884
1.01,69.5,13.6,DAL,W,CHI,-6.0,@SF,-2.5,CIN,-1.5,@GB,5.5,BYE,,PHI,-5.0,@CLE,-7.5,@PIT,6.0,BAL,-3.5,WAS,-6.0,@MIN,3.5,@NYG,2.5,TB,-4.0,DET,-4.5,@PHI,-2.0,0.4887216990161
0.99,63.3,2.6,TB,L,LAR,-3.5,DEN,3.0,@CAR,8.0,BYE,,@SF,-3.0,OAK,-1.5,ATL,-3.0,CHI,-4.0,@KC,6.5,SEA,3.5,@SD,3.0,NO,-4.5,@DAL,4.0,@NO,-1.5,CAR,3.5,0.21854818646706
0.99,65.5,7.6,ARI,L,@BUF,-4.0,LAR,-8.0,@SF,-7.0,NYJ,-4.0,SEA,-3.0,@CAR,3.0,BYE,,SF,-11.0,@MIN,1.5,@ATL,-3.0,WAS,-8.0,@MIA,-5.0,NO,-10.0,@SEA,3.0,@LAR,-6.0,0.85024122288865
0.99,62.7,2.0,PIT,L,@PHI,-3.5,KC,-6.0,NYJ,-5.0,@MIA,-6.0,NE,-3.5,BYE,,@BAL,-2.0,DAL,-6.0,@CLE,-10.0,@IND,-3.5,NYG,-6.5,@BUF,-6.0,@CIN,-0.5,BAL,-7.0,CLE,-15.0,0.95729237257953
0.98,62.3,2.6,NYG,L,WAS,-3.5,@MIN,4.0,@GB,6.5,BAL,-3.0,@LAR,-2.5,BYE,,PHI,-4.0,CIN,-0.5,CHI,-6.5,@CLE,-4.0,@PIT,6.5,DAL,-2.5,DET,-4.0,@PHI,0.5,@WAS,-1.5,0.36578897714583
0.97,60.6,0.4,KC,W,NYJ,-3.0,@PIT,6.0,BYE,,@OAK,-1.5,NO,-9.5,@IND,-3.0,JAX,-9.0,@CAR,4.0,TB,-6.5,@DEN,3.0,@ATL,-3.0,OAK,-5.5,TEN,-9.5,DEN,-2.0,@SD,-3.0,0.63934185807146
0.96,77.7,43.8,MIA,W,CLE,-10.0,@CIN,7.0,TEN,-3.5,PIT,6.0,BUF,-3.0,BYE,,NYJ,3.0,@SD,3.5,@LAR,3.0,SF,-3.5,@BAL,5.0,ARI,5.0,@NYJ,7.0,@BUF,2.5,NE,4.0,0.13312145772112
0.95,59.7,0.4,NO,L,ATL,-2.5,@SD,3.5,BYE,,CAR,6.5,@KC,9.5,SEA,6.0,@SF,1.5,DEN,4.0,@CAR,10.5,LAR,-2.0,DET,-0.5,@TB,4.5,@ARI,10.0,TB,1.5,@ATL,4.0,0.021917287902349
0.9,56.8,0.8,BAL,W,@JAX,-2.5,OAK,-3.5,WAS,-4.0,@NYG,3.0,@NYJ,3.5,BYE,,PIT,2.0,CLE,-10.5,@DAL,3.5,CIN,-0.5,MIA,-5.0,@NE,5.5,PHI,-3.0,@PIT,7.0,@CIN,3.5,0.34858827411541
0.86,54.2,0.4,OAK,W,@TEN,-1.5,@BAL,3.5,SD,-3.5,KC,1.5,@JAX,-2.0,@TB,1.5,DEN,2.5,BYE,,HOU,-1.5,CAR,3.5,BUF,-4.5,@KC,5.5,@SD,1.5,IND,-3.0,@DEN,6.5,0.18591024429006
0.85,53.1,0.4,IND,W,SD,-1.5,@JAX,-2.0,CHI,-4.0,@HOU,4.0,@TEN,-2.0,KC,3.0,@GB,8.0,BYE,,TEN,-6.0,PIT,3.5,@NYJ,4.0,HOU,0.5,@MIN,6.5,@OAK,3.0,JAX,-3.5,0.23378682764211
0.82,50.9,0.2,NE,W,HOU,-1.0,BUF,-8.0,@CLE,-8.0,CIN,-3.5,@PIT,3.5,@BUF,-4.0,BYE,,SEA,-2.5,@SF,-6.0,@NYJ,-0.5,LAR,-8.0,BAL,-5.5,@DEN,2.5,NYJ,-4.0,@MIA,-4.0,0.72847490176915
