EV,W_pct,P_pct,Team,Team_Result,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.2,79.9,2.9,NE,W,@NYJ,-9.0,LAR,-13.5,BAL,-9.5,@DEN,-2.5,NYJ,-13.0,@MIA,-6.5,1.0
1.15,78.1,5.9,PIT,W,@IND,-8.0,NYG,-5.5,@BUF,-1.5,@CIN,-3.0,BAL,-6.5,CLE,-14.0,0.69778994000748
1.06,76.9,18.7,NO,W,LAR,-8.0,DET,-5.0,@TB,-1.5,@ARI,3.5,TB,-5.0,@ATL,3.5,0.31466306439922
1.06,76.4,18.2,BUF,W,JAX,-8.5,@OAK,3.0,PIT,1.5,CLE,-10.0,MIA,-4.0,@NYJ,-2.5,0.38837209040706
1.05,74.4,12.6,MIA,W,SF,-7.5,@BAL,3.5,ARI,1.5,@NYJ,1.5,@BUF,4.0,NE,6.5,0.0
1.05,70.5,2.6,TEN,W,@CHI,-6.5,BYE,,DEN,2.5,@KC,4.0,@JAX,-2.0,HOU,-3.0,0.10832432754402
1.02,68.1,2.6,DAL,W,WAS,-5.5,@MIN,-3.5,@NYG,-1.0,TB,-8.0,DET,-6.5,@PHI,-1.5,0.51207364401915
1.01,67.6,2.0,SEA,L,@TB,-5.0,CAR,-7.0,@GB,-3.0,LAR,-9.5,ARI,-4.0,@SF,-9.5,0.80271474534886
0.97,64.0,0.3,PHI,L,GB,-4.0,@CIN,-1.5,WAS,-3.0,@BAL,1.5,NYG,-2.5,DAL,1.5,0.12408407874027
0.97,64.0,0.6,ATL,W,ARI,-3.5,KC,-4.0,@LAR,-3.5,SF,-10.5,@CAR,0.5,NO,-3.5,0.55135143641588
0.95,62.7,0.5,OAK,W,CAR,-3.5,BUF,-3.0,@KC,3.0,@SD,-1.0,IND,-6.5,@DEN,3.5,0.27346689717823
0.94,62.3,0.3,DEN,L,KC,-3.5,@JAX,-5.0,@TEN,-2.5,NE,2.5,@KC,1.5,OAK,-3.5,0.26782616797843
0.94,62.3,0.6,BAL,W,CIN,-3.5,MIA,-3.5,@NE,9.5,PHI,-1.5,@PIT,6.5,@CIN,3.0,0.11338263407846
0.88,70.1,30.0,NYG,W,@CLE,-6.5,@PIT,5.5,DAL,1.0,DET,-3.5,@PHI,2.5,@WAS,2.5,0.10062794338762
0.84,55.2,0.1,SD,W,@HOU,-2.5,TB,-4.0,@CAR,3.5,OAK,1.0,@CLE,-5.0,KC,-0.5,0.26202670384581
0.8,53.1,0.3,DET,W,MIN,-2.0,@NO,5.0,CHI,-6.5,@NYG,3.5,@DAL,6.5,GB,-1.0,0.17248970145394
0.71,46.9,0.2,MIN,L,@DET,2.0,DAL,3.5,@JAX,-3.0,IND,-4.5,@GB,3.0,CHI,-7.5,0.37903002456872
0.67,44.8,0.7,HOU,L,SD,2.5,@GB,6.5,@IND,1.5,JAX,-4.0,CIN,-1.0,@TEN,3.0,0.13812186488532
0.63,29.9,0.0,CLE,L,NYG,6.5,BYE,,CIN,4.5,@BUF,10.0,SD,5.0,@PIT,14.0,0.0
0.57,37.7,0.0,CIN,L,@BAL,3.5,PHI,1.5,@CLE,-4.5,PIT,3.0,@HOU,1.0,BAL,-3.0,0.19401830038275
0.57,37.7,0.0,KC,W,@DEN,3.5,@ATL,4.0,OAK,-3.0,TEN,-4.0,DEN,-1.5,@SD,0.5,0.20425359312941
0.57,37.3,0.1,CAR,L,@OAK,3.5,@SEA,7.0,SD,-3.5,@WAS,2.0,ATL,-0.5,@TB,-2.5,0.15178576533161
0.55,36.0,0.1,ARI,L,@ATL,3.5,WAS,-2.5,@MIA,-1.5,NO,-3.5,@SEA,4.0,@LAR,-3.5,0.26486891896696
0.55,36.0,0.1,GB,W,@PHI,4.0,HOU,-6.5,SEA,3.0,@CHI,-3.5,MIN,-3.0,@DET,1.0,0.31987996818944
0.5,32.4,0.0,TB,W,SEA,5.0,@SD,4.0,NO,1.5,@DAL,8.0,@NO,5.0,CAR,2.5,0.0
0.5,31.9,0.1,WAS,L,@DAL,5.5,@ARI,2.5,@PHI,3.0,CAR,-2.0,@CHI,-4.0,NYG,-2.5,0.19252558185668
0.46,29.5,0.2,CHI,L,TEN,6.5,SF,-2.5,@DET,6.5,GB,3.5,WAS,4.0,@MIN,7.5,0.044944811094728
0.46,25.6,0.1,SF,L,@MIA,7.5,@CHI,2.5,NYJ,2.5,@ATL,10.5,@LAR,6.0,SEA,9.5,0.0
0.46,23.6,0.0,JAX,L,@BUF,8.5,DEN,5.0,MIN,3.0,@HOU,4.0,TEN,2.0,@IND,3.5,0.0
0.45,23.1,0.0,LAR,L,@NO,8.0,@NE,13.5,ATL,3.5,@SEA,9.5,SF,-6.0,ARI,3.5,0.15021675374862
0.36,21.9,0.0,IND,L,PIT,8.0,@NYJ,-1.5,HOU,-1.5,@MIN,4.5,@OAK,6.5,JAX,-3.5,0.14066516450253
0.32,20.1,0.0,NYJ,L,NE,9.0,IND,1.5,@SF,-2.5,MIA,-1.5,@NE,13.0,BUF,2.5,0.072302624129353
