EV,W_pct,P_pct,Team,Team_Result,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.32,69.6,1.7,NE,W,BAL,-6.0,@DEN,-3.0,NYJ,-13.5,@MIA,-6.0,0.77698679588628
1.25,65.0,0.7,KC,W,OAK,-3.5,TEN,-5.0,DEN,-3.0,@SD,1.0,0.29010928035895
1.23,71.7,11.3,IND,L,HOU,-6.5,@MIN,4.0,@OAK,5.0,JAX,-5.5,0.21000324278173
1.22,63.3,0.3,DAL,L,@NYG,-3.5,TB,-7.0,DET,-6.5,@PHI,-3.5,0.66104385301893
1.19,65.5,4.9,CIN,W,@CLE,-4.5,PIT,3.0,@HOU,-1.0,BAL,-1.5,0.05487274999167
1.12,61.9,4.8,MIN,W,@JAX,-3.0,IND,-4.0,@GB,4.5,CHI,-6.0,0.411498593225
1.1,56.8,0.1,SEA,L,@GB,-3.0,LAR,-15.0,ARI,-5.5,@SF,-9.5,1.0
1.09,56.6,0.6,SF,L,NYJ,-3.0,@ATL,14.0,@LAR,4.0,SEA,9.5,0.0
1.07,65.9,14.7,ATL,W,@LAR,-4.5,SF,-14.0,@CAR,-2.0,NO,-4.0,0.67332348964039
1.06,54.2,0.1,TEN,W,DEN,-1.5,@KC,5.0,@JAX,-2.5,HOU,-4.0,0.22731873255084
1.05,54.2,0.4,WAS,W,@PHI,-2.0,CAR,-4.5,@CHI,-3.5,NYG,-3.0,0.46071572945336
1.05,55.2,1.1,TB,W,NO,-2.5,@DAL,7.0,@NO,4.0,CAR,-1.5,0.044745391314274
1.03,25.9,0.0,CHI,L,@DET,7.5,GB,7.0,WAS,3.5,@MIN,6.0,0.0
1.02,53.3,0.4,ARI,L,@MIA,-1.5,NO,-2.5,@SEA,5.5,@LAR,-3.5,0.21658501502522
1.01,52.6,0.4,PIT,W,@BUF,-1.0,@CIN,-3.0,BAL,-6.0,CLE,-14.0,0.80018326261609
0.98,51.7,1.0,CAR,W,SD,-1.0,@WAS,4.5,ATL,2.0,@TB,1.5,0.0
0.95,48.3,0.0,SD,L,@CAR,1.0,OAK,3.0,@CLE,-5.0,KC,-1.0,0.21767434688498
0.92,47.4,0.0,BUF,L,PIT,1.0,CLE,-10.5,MIA,-3.5,@NYJ,-3.0,0.60868172500511
0.91,46.7,0.1,MIA,W,ARI,1.5,@NYJ,-2.5,@BUF,3.5,NE,6.0,0.075589884821559
0.9,74.1,54.0,DET,W,CHI,-7.5,@NYG,4.5,@DAL,6.5,GB,0.5,0.0
0.88,44.8,0.2,NO,L,@TB,2.5,@ARI,2.5,TB,-4.0,@ATL,4.0,0.15835191747525
0.88,45.8,0.9,PHI,L,WAS,2.0,@BAL,6.0,NYG,-1.0,DAL,3.5,0.024565667266527
0.87,45.8,0.9,DEN,L,@TEN,1.5,NE,3.0,@KC,3.0,OAK,-3.0,0.093250428964772
0.86,34.1,0.1,LAR,L,ATL,4.5,@SEA,15.0,SF,-4.0,ARI,3.5,0.17264427408918
0.84,43.4,0.4,NYJ,W,@SF,3.0,MIA,2.5,@NE,13.5,BUF,3.0,0.0
0.84,43.2,0.1,GB,W,SEA,3.0,@CHI,-7.0,MIN,-4.5,@DET,-0.5,0.43661960559061
0.81,38.1,0.2,JAX,L,MIN,3.0,@HOU,6.0,TEN,2.5,@IND,5.5,0.0
0.74,34.5,0.1,CLE,L,CIN,4.5,@BUF,10.5,SD,5.0,@PIT,14.0,0.0
0.71,36.7,0.2,NYG,W,DAL,3.5,DET,-4.5,@PHI,1.0,@WAS,3.0,0.19733375821755
0.7,28.3,0.1,HOU,W,@IND,6.5,JAX,-6.0,CIN,1.0,@TEN,4.0,0.23254352857967
0.69,35.0,0.2,OAK,L,@KC,3.5,@SD,-3.0,IND,-5.0,@DEN,3.0,0.28258097387209
0.61,30.4,0.0,BAL,L,@NE,6.0,PHI,-6.0,@PIT,6.0,@CIN,1.5,0.22868766854483
