EV,W_pct,P_pct,Team,Team_Result,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.13,79.9,8.6,OAK,W,NYG,-10.0,@KC,4.0,DAL,-3.5,@PHI,7.0,@LAC,3.5,0.09539266722685
1.12,79.5,10.0,JAX,W,IND,-10.0,SEA,-3.0,HOU,-7.0,@SF,-5.5,@TEN,2.5,0.45839537016188
1.09,74.9,2.9,NE,W,@BUF,-7.5,@MIA,-11.0,@PIT,-1.5,BUF,-11.0,NYJ,-14.5,1.0
1.07,73.8,4.3,LAR,W,@ARI,-7.5,PHI,-2.0,@SEA,2.5,@TEN,0.5,SF,-11.0,0.35730229013854
1.04,71.9,3.7,TEN,W,HOU,-7.0,@ARI,-3.0,@SF,-4.5,LAR,-0.5,JAX,-2.5,0.28989577258202
1.02,69.6,0.3,NO,W,CAR,-5.5,@ATL,-1.0,NYJ,-9.0,ATL,-3.0,@TB,-4.0,0.47261769943759
1.0,86.1,56.0,LAC,W,CLE,-13.5,WAS,-6.0,@KC,3.5,@NYJ,-3.0,OAK,-3.5,0.35992817098666
0.97,65.9,0.8,PIT,W,@CIN,-4.5,BAL,-5.0,NE,1.5,@HOU,-7.0,CLE,-17.0,0.77495400211278
0.94,64.0,0.2,PHI,L,@SEA,-3.5,@LAR,2.0,@NYG,-8.0,OAK,-7.0,DAL,-8.0,0.71020083840495
0.92,64.5,4.4,KC,L,@NYJ,-4.0,OAK,-4.0,LAC,-3.5,MIA,-9.5,@DEN,-3.5,0.62915082724078
0.88,60.0,1.2,GB,W,TB,-3.0,@CLE,-3.5,@CAR,6.5,MIN,3.5,@DET,5.0,0.099077616619551
0.82,55.9,0.3,BAL,W,DET,-2.5,@PIT,5.0,@CLE,-5.5,IND,-7.0,CIN,-3.5,0.4909764881338
0.82,56.6,2.1,CHI,L,SF,-2.5,@CIN,5.5,@DET,7.0,CLE,-4.0,@MIN,9.5,0.1434781101348
0.81,55.2,0.7,ATL,L,MIN,-2.5,NO,1.0,@TB,-3.5,@NO,3.0,CAR,-3.5,0.23638759785114
0.81,54.4,0.3,WAS,L,@DAL,-1.5,@LAC,6.0,ARI,-5.0,DEN,-4.0,@NYG,-3.0,0.37183622042981
0.78,53.3,0.8,DEN,L,@MIA,-1.0,NYJ,1.0,@IND,-1.0,@WAS,4.0,KC,3.5,0.024790153761413
0.69,46.7,0.2,MIA,W,DEN,1.0,NE,11.0,@BUF,4.5,@KC,9.5,BUF,1.5,0.0
0.67,45.6,0.7,DAL,W,WAS,1.5,@NYG,-4.0,@OAK,3.5,SEA,2.0,@PHI,8.0,0.14758783247056
0.66,44.8,0.2,MIN,W,@ATL,2.5,@CAR,-2.5,CIN,-6.5,@GB,-3.5,CHI,-9.5,0.6332119423861
0.65,43.4,0.3,SF,W,@CHI,2.5,@HOU,3.0,TEN,4.5,JAX,5.5,@LAR,11.0,0.0
0.65,44.1,0.1,DET,L,@BAL,2.5,@TB,-1.5,CHI,-7.0,@CIN,0.5,GB,-5.0,0.41454798946588
0.6,40.0,0.1,TB,L,@GB,3.0,DET,1.5,ATL,3.5,@CAR,6.5,NO,4.0,0.0
0.55,35.5,0.1,NYJ,W,KC,4.0,@DEN,-1.0,@NO,9.0,LAC,3.0,@NE,14.5,0.0
0.53,36.0,0.3,SEA,W,PHI,3.5,@JAX,3.0,LAR,-2.5,@DAL,-2.0,ARI,-7.5,0.32545180398847
0.51,34.1,0.1,CIN,L,PIT,4.5,CHI,-5.5,@MIN,6.5,DET,-0.5,@BAL,3.5,0.18281563800484
0.48,13.9,0.1,CLE,L,@LAC,13.5,GB,3.5,BAL,5.5,@CHI,4.0,@PIT,17.0,0.0
0.45,30.4,0.1,CAR,L,@NO,5.5,MIN,2.5,GB,-6.5,TB,-6.5,@ATL,3.5,0.38595265891325
0.44,28.1,0.1,HOU,L,@TEN,7.0,SF,-3.0,@JAX,7.0,PIT,7.0,@IND,1.5,0.07974605083573
0.41,26.2,0.9,ARI,L,LAR,7.5,TEN,3.0,@WAS,5.0,NYG,-3.5,@SEA,7.5,0.11231049722205
0.39,25.1,0.0,BUF,L,NE,7.5,IND,-6.5,MIA,-4.5,@NE,11.0,@MIA,-1.5,0.36780529409917
0.36,20.5,0.1,IND,L,@JAX,10.0,@BUF,6.5,DEN,1.0,@BAL,7.0,HOU,-1.5,0.02315282301268
0.34,20.1,0.0,NYG,L,@OAK,10.0,DAL,4.0,PHI,8.0,@ARI,3.5,WAS,3.0,0.0
