EV,W_pct,P_pct,Team,Team_Result,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.13,87.0,15.6,NE,W,@WAS,-16.5,NYG,-16.5,@NYJ,-14.0,CLE,-8.0,@BAL,-3.5,BYE,,@PHI,-3.0,DAL,-6.0,@HOU,-4.0,KC,-3.5,@CIN,-10.5,BUF,-9.5,MIA,-18.5,1.0
1.03,82.2,22.0,KC,L,IND,-10.5,HOU,-5.0,@DEN,-8.0,GB,-5.0,MIN,-6.0,@TEN,-4.0,LAC,-3.0,BYE,,OAK,-11.5,@NE,3.5,DEN,-13.5,@CHI,-1.0,LAC,-7.0,0.70919311326882
0.99,85.9,46.1,PHI,W,NYJ,-14.0,@MIN,3.0,@DAL,3.5,@BUF,-1.0,CHI,-2.5,BYE,,NE,3.0,SEA,-3.0,@MIA,-13.5,NYG,-7.5,@WAS,-8.0,DAL,-1.0,@NYG,-3.5,0.42192194674477
0.94,70.9,4.5,CHI,L,OAK,-6.5,BYE,,NO,-3.0,LAC,-3.5,@PHI,2.5,DET,-6.5,@LAR,3.0,NYG,-8.0,@DET,-3.0,DAL,-1.5,@GB,3.0,KC,1.0,@MIN,2.0,0.28823545101955
0.91,67.7,2.5,MIN,W,@NYG,-5.5,PHI,-3.0,@DET,-1.5,WAS,-13.5,@KC,6.0,@DAL,3.5,DEN,-9.5,BYE,,@SEA,3.0,DET,-5.0,@LAC,1.5,GB,-2.5,CHI,-2.0,0.3692947861218
0.91,67.5,2.9,LAC,L,DEN,-4.0,PIT,-7.0,@TEN,1.5,@CHI,3.5,GB,-1.0,@OAK,-3.0,KC,3.0,BYE,,@DEN,-4.0,@JAX,-1.5,MIN,-1.5,OAK,-6.5,@KC,7.0,0.26435761679454
0.9,66.2,0.7,SF,W,CLE,-5.0,@LAR,3.5,@WAS,-8.0,CAR,-4.0,@ARI,-6.5,SEA,-3.0,ARI,-10.5,GB,-2.5,@BAL,3.0,@NO,3.0,ATL,-7.0,LAR,-1.0,@SEA,3.0,0.47510389020863
0.89,65.5,1.2,HOU,W,ATL,-4.0,@KC,5.0,@IND,0.5,OAK,-6.5,JAX,-1.0,BYE,,@BAL,3.0,IND,-3.5,NE,4.0,DEN,-8.0,@TEN,1.5,@TB,-0.5,TEN,-3.5,0.26482331408903
0.85,62.7,0.3,CAR,W,JAX,-3.0,TB,-2.0,BYE,,@SF,4.0,TEN,-2.5,@GB,4.5,ATL,-3.5,@NO,4.0,WAS,-9.5,@ATL,1.0,SEA,0.5,@IND,2.5,NO,1.0,0.18639033523542
0.85,62.2,0.1,DAL,L,GB,-3.5,@NYJ,-8.5,PHI,-3.5,BYE,,@NYG,-6.0,MIN,-3.5,@DET,-3.5,@NE,6.0,BUF,-6.5,@CHI,1.5,LAR,-3.0,@PHI,1.0,WAS,-14.0,0.52587563866165
0.85,62.2,0.5,TEN,L,BUF,-3.0,@DEN,2.5,LAC,-1.5,TB,-3.5,@CAR,2.5,KC,4.0,BYE,,JAX,-3.5,@IND,2.0,@OAK,-2.0,HOU,-1.5,NO,0.5,@HOU,3.5,0.12475608072408
0.84,61.8,0.6,BAL,W,@PIT,-3.5,CIN,-12.0,@SEA,3.0,BYE,,NE,3.5,@CIN,-6.5,HOU,-3.0,@LAR,4.0,SF,-3.0,@BUF,-0.5,NYJ,-13.5,@CLE,1.5,PIT,-6.5,0.45181006515167
0.83,60.4,0.4,CIN,L,ARI,-3.0,@BAL,12.0,JAX,3.0,LAR,13.0,BYE,,BAL,6.5,@OAK,5.5,PIT,3.0,NYJ,-3.5,@CLE,9.5,NE,10.5,@MIA,-5.5,CLE,5.5,0.10446593510723
