EV,W_pct,P_pct,Team,Team_Result,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.07,71.8,3.3,PIT,W,CIN,-6.5,@JAX,-10.5,BAL,-0.5,WAS,-11.0,@BUF,0.5,@CIN,-6.5,IND,-3.5,@CLE,-2.5,0.56526674888769
1.05,70.9,3.2,BAL,L,@NE,-6.5,TEN,-6.5,@PIT,0.5,DAL,-13.5,@CLE,-3.5,JAX,-17.0,NYG,-15.0,@CIN,-9.0,1.0
1.05,70.1,2.3,TB,W,@CAR,-6.0,LAR,-3.5,KC,1.5,BYE,,MIN,-6.5,@ATL,-3.5,@DET,-4.0,ATL,-7.0,0.45764518537941
1.03,87.2,52.5,GB,W,JAX,-13.5,@IND,2.5,CHI,-9.5,PHI,-7.5,@DET,-5.5,CAR,-9.5,TEN,-4.0,@CHI,-5.0,0.74038778218649
1.01,66.8,1.4,CLE,W,HOU,-4.5,PHI,-3.5,@JAX,-5.0,@TEN,3.5,BAL,3.5,@NYG,-4.0,@NYJ,-7.0,PIT,2.5,0.37707400312777
1.01,66.5,1.1,PHI,L,@NYG,-4.5,@CLE,3.5,SEA,3.0,@GB,7.5,NO,3.5,@ARI,4.0,@DAL,-2.0,WAS,-6.5,0.13550649565464
0.98,76.8,26.0,NO,W,SF,-9.5,ATL,-5.0,@DEN,-7.0,@ATL,-3.5,@PHI,-3.5,KC,1.5,MIN,-6.5,@CAR,-4.0,0.56123927994883
0.94,61.6,0.4,MIN,W,@CHI,-3.5,DAL,-7.5,CAR,-4.0,JAX,-9.5,@TB,6.5,CHI,-4.0,@NO,6.5,@DET,-1.0,0.4644556216267
0.88,57.9,0.1,ARI,W,BUF,-3.0,@SEA,3.5,@NE,-0.5,LAR,-1.0,@NYG,-4.0,PHI,-4.0,SF,-4.0,@LAR,3.5,0.24572459425897
0.88,57.6,0.1,LAR,W,SEA,-3.0,@TB,3.5,SF,-6.0,@ARI,1.0,NE,-6.0,NYJ,-14.0,@SEA,3.0,ARI,-3.5,0.49334312189922
0.87,60.7,5.6,LV,W,DEN,-3.0,KC,6.5,@ATL,2.0,@NYJ,-6.5,IND,1.0,LAC,-3.0,MIA,-3.5,@DEN,-2.5,0.26827086002347
0.84,56.7,2.1,DET,W,WAS,-2.5,@CAR,3.0,HOU,-1.5,@CHI,3.0,GB,5.5,@TEN,6.5,TB,4.0,MIN,1.0,0.014155098674204
0.81,53.5,0.5,MIA,W,LAC,-2.5,@DEN,-3.0,@NYJ,-4.5,CIN,-4.0,KC,7.0,NE,-2.5,@LV,3.5,@BUF,5.0,0.25142700833461
0.8,52.2,0.0,IND,W,@TEN,-1.0,GB,-2.5,TEN,-3.0,@HOU,-2.5,@LV,-1.0,HOU,-6.0,@PIT,3.5,JAX,-11.5,0.42695577816204
0.72,47.8,0.6,TEN,L,IND,1.0,@BAL,6.5,@IND,3.0,CLE,-3.5,@JAX,-6.5,DET,-6.5,@GB,4.0,@HOU,-1.5,0.31002881533399
0.72,46.5,0.0,LAC,L,@MIA,2.5,NYJ,-8.5,@BUF,4.5,NE,-3.0,ATL,-3.0,@LV,3.0,DEN,-4.5,@KC,10.0,0.32575221302296
0.68,43.3,0.0,WAS,L,@DET,2.5,CIN,-1.0,@DAL,3.0,@PIT,11.0,@SF,6.0,SEA,6.5,CAR,1.5,@PHI,6.5,0.028220873539059
0.66,39.3,0.0,DEN,L,@LV,3.0,MIA,3.0,NO,7.0,@KC,14.0,@CAR,3.5,BUF,3.5,@LAC,4.5,LV,2.5,0.0
0.65,42.4,0.2,SEA,L,@LAR,3.0,ARI,-3.5,@PHI,-3.0,NYG,-11.0,NYJ,-15.0,@WAS,-6.5,LAR,-3.0,@SF,-3.0,0.7303689215957
0.64,42.1,0.1,BUF,L,@ARI,3.0,BYE,,LAC,-4.5,@SF,-1.5,PIT,-0.5,@DEN,-3.5,@NE,-1.5,MIA,-5.0,0.29290847350512
0.59,38.4,0.2,CHI,L,MIN,3.5,BYE,,@GB,9.5,DET,-3.0,HOU,-1.0,@MIN,4.0,@JAX,-3.0,GB,5.0,0.08926645734492
0.55,23.2,0.0,SF,L,@NO,9.5,BYE,,@LAR,6.0,BUF,1.5,WAS,-6.0,@DAL,-1.5,@ARI,4.0,SEA,3.0,0.12040600355664
0.52,33.5,0.1,NYG,W,PHI,4.5,BYE,,@CIN,3.5,@SEA,11.0,ARI,4.0,CLE,4.0,@BAL,15.0,DAL,-1.5,0.019084399931386
0.52,33.2,0.1,HOU,L,@CLE,4.5,NE,2.5,@DET,1.5,IND,2.5,@CHI,1.0,@IND,6.0,CIN,-4.0,TEN,1.5,0.085499891199871
0.49,12.8,0.0,JAX,L,@GB,13.5,PIT,10.5,CLE,5.0,@MIN,9.5,TEN,6.5,@BAL,17.0,CHI,3.0,@IND,11.5,0.0
0.48,29.9,0.0,CAR,L,TB,6.0,DET,-3.0,@MIN,4.0,BYE,,DEN,-3.5,@GB,9.5,@WAS,-1.5,NO,4.0,0.12297011816694
0.47,29.1,0.0,NE,W,BAL,6.5,@HOU,-2.5,ARI,0.5,@LAC,3.0,@LAR,6.0,@MIA,2.5,BUF,1.5,NYJ,-9.5,0.1932139085947
0.46,28.2,0.0,CIN,L,@PIT,6.5,@WAS,1.0,NYG,-3.5,@MIA,4.0,DAL,-3.0,PIT,6.5,@HOU,4.0,BAL,9.0,0.11095211571058
,,,ATL,,BYE,,@NO,5.0,LV,-2.0,NO,3.5,@LAC,3.0,TB,3.5,@KC,10.5,@TB,7.0,0.026665593198832
,,,DAL,,BYE,,@MIN,7.5,WAS,-3.0,@BAL,13.5,@CIN,3.0,SF,1.5,PHI,2.0,@NYG,1.5,0.051771113076584
,,,KC,,BYE,,@LV,-6.5,@TB,-1.5,DEN,-14.0,@MIA,-7.0,@NO,-1.5,ATL,-10.5,LAC,-10.0,0.84798392676383
,,,NYJ,,BYE,,@LAC,8.5,MIA,4.5,LV,6.5,@SEA,15.0,@LAR,14.0,CLE,7.0,@NE,9.5,0.0
