EV,W_pct,P_pct,Team,Team_Result,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.17,70.4,4.0,BUF,W,@NO,-7.0,NE,-2.5,@TB,3.0,CAR,-8.0,@NE,-0.5,ATL,-13.5,NYJ,-17.5,0.74578523159213
1.16,72.9,11.4,NE,W,TEN,-7.5,@BUF,2.5,BYE,,@IND,1.5,BUF,0.5,JAX,-13.0,@MIA,-3.0,0.29776719072107
1.11,73.6,20.8,DAL,L,LV,-7.0,@NO,-4.0,@WAS,-3.0,@NYG,-4.5,WAS,-6.5,ARI,-2.5,@PHI,-0.5,0.42958102197161
1.08,64.2,2.3,SF,W,MIN,-4.0,@SEA,-3.5,@CIN,1.5,ATL,-9.5,@TEN,1.5,HOU,-13.5,@LAR,4.0,0.49650239989882
1.05,62.4,2.5,CIN,W,PIT,-4.0,LAC,-3.0,SF,-1.5,@DEN,1.5,BAL,1.5,KC,3.0,@CLE,3.5,0.080902694383014
0.99,65.0,15.6,PHI,L,@NYG,-4.0,@NYJ,-6.5,BYE,,WAS,-4.0,NYG,-6.5,@WAS,1.0,DAL,0.5,0.36764325532936
0.97,58.2,2.4,TB,W,@IND,-3.0,@ATL,-10.5,BUF,-3.0,NO,-8.0,@CAR,-4.5,@NYJ,-15.0,CAR,-9.5,1.0
0.95,59.2,7.6,BAL,W,CLE,-3.0,@PIT,-4.0,@CLE,1.0,GB,-3.0,@CIN,-1.5,LAR,-2.5,PIT,-6.5,0.35243280588191
0.94,57.6,5.0,HOU,L,NYJ,-3.0,IND,9.5,SEA,5.0,@JAX,3.0,LAC,9.5,@SF,13.5,TEN,6.5,0.0
0.92,57.0,5.9,LAC,L,@DEN,-2.5,@CIN,3.0,NYG,-9.5,KC,1.0,@HOU,-9.5,DEN,-6.0,@LV,-3.0,0.54207757506237
0.92,53.9,0.1,LAR,L,@GB,-2.0,JAX,-13.0,@ARI,2.0,SEA,-7.0,@MIN,-1.5,@BAL,2.5,SF,-4.0,0.49135776975383
0.87,52.3,2.3,CAR,L,@MIA,-1.0,BYE,,ATL,-6.5,@BUF,8.0,TB,4.5,@NO,3.0,@TB,9.5,0.13068331808411
0.86,52.2,3.0,ATL,W,@JAX,-1.5,TB,10.5,@CAR,6.5,@SF,9.5,DET,-5.0,@BUF,13.5,NO,2.5,0.1160973300551
0.86,54.4,8.5,CHI,W,@DET,-2.0,ARI,7.5,@GB,9.5,MIN,3.0,@SEA,5.5,NYG,-3.0,@MIN,7.0,0.055812474792195
0.86,48.7,0.4,WAS,W,SEA,1.0,@LV,2.5,DAL,3.0,@PHI,4.0,@DAL,6.5,PHI,-1.0,@NYG,-1.0,0.027608744968641
0.85,51.3,3.8,SEA,L,@WAS,-1.0,SF,3.5,@HOU,-5.0,@LAR,7.0,CHI,-5.5,DET,-9.5,@ARI,6.5,0.42127765305217
0.84,45.6,0.7,DET,L,CHI,2.0,MIN,7.0,@DEN,9.5,ARI,9.0,@ATL,5.0,@SEA,9.5,GB,9.5,0.0
0.84,47.8,0.2,JAX,L,ATL,1.5,@LAR,13.0,@TEN,10.0,HOU,-3.0,@NYJ,2.0,@NE,13.0,IND,6.5,0.05604049822625
0.83,47.7,0.4,MIA,W,CAR,1.0,NYG,-3.0,BYE,,NYJ,-8.0,@NO,3.5,@TEN,5.5,NE,3.0,0.23879688429469
0.78,46.1,0.4,GB,W,LAR,2.0,BYE,,CHI,-9.5,@BAL,3.0,CLE,-4.0,MIN,-4.0,@DET,-9.5,0.57154312622321
0.78,43.0,0.1,DEN,W,LAC,2.5,@KC,10.0,DET,-9.5,CIN,-1.5,@LV,2.0,@LAC,6.0,KC,4.0,0.21133327218165
0.76,42.4,0.5,NYJ,W,@HOU,3.0,PHI,6.5,NO,6.0,@MIA,8.0,JAX,-2.0,TB,15.0,@BUF,17.5,0.0283962565221
0.75,40.8,0.0,CLE,L,@BAL,3.0,BYE,,BAL,-1.0,LV,-5.5,@GB,4.0,@PIT,0.5,CIN,-3.5,0.20511696435989
0.73,41.8,0.0,IND,L,TB,3.0,@HOU,-9.5,BYE,,NE,-1.5,@ARI,4.0,LV,-5.5,@JAX,-6.5,0.46320296474589
0.71,35.0,0.3,NYG,W,PHI,4.0,@MIA,3.0,@LAC,9.5,DAL,4.5,@PHI,6.5,@CHI,3.0,WAS,1.0,0.0
0.65,37.6,0.6,PIT,L,@CIN,4.0,BAL,4.0,@MIN,3.5,TEN,-1.5,@KC,8.0,CLE,-0.5,@BAL,6.5,0.026148506538518
0.62,35.8,0.2,MIN,L,@SF,4.0,@DET,-7.0,PIT,-3.5,@CHI,-3.0,LAR,1.5,@GB,4.0,CHI,-7.0,0.4418777591019
0.59,26.4,0.1,LV,W,@DAL,7.0,WAS,-2.5,@KC,9.5,@CLE,5.5,DEN,-2.0,@IND,5.5,LAC,3.0,0.071973771781139
0.54,27.1,0.6,TEN,L,@NE,7.5,BYE,,JAX,-10.0,@PIT,1.5,SF,-1.5,MIA,-5.5,@HOU,-6.5,0.48909304461561
0.53,29.6,0.1,NO,L,BUF,7.0,DAL,4.0,@NYJ,-6.0,@TB,8.0,MIA,-3.5,CAR,-3.0,@ATL,-2.5,0.29298856537483
,,0.0,ARI,,BYE,,@CHI,-7.5,LAR,-2.0,@DET,-9.0,IND,-4.0,@DAL,2.5,SEA,-6.5,0.60334008299338
,,0.0,KC,,BYE,,DEN,-10.0,LV,-9.5,@LAC,-1.0,PIT,-8.0,@CIN,-3.0,@DEN,-4.0,0.71467943947434
