EV,W_pct,P_pct,Team,Team_Result,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.27,80.8,5.4,PHI,L,WAS,-11.0,@IND,-6.5,GB,-7.0,TEN,-7.5,@NYG,-6.5,@CHI,-7.0,@DAL,0.5,NO,-9.5,NYG,-10.0,0.81606753723753
1.17,76.7,10.4,SF,W,LAC,-8.5,ARI,-8.5,NO,-7.0,MIA,-4.0,TB,-3.5,@SEA,-3.0,WAS,-9.0,@LV,-3.0,ARI,-7.0,0.66313616479753
1.08,67.2,1.2,BUF,L,MIN,-5.0,CLE,-8.5,@DET,-11.0,@NE,-6.0,NYJ,-13.5,MIA,-7.5,@CHI,-11.0,@CIN,-3.0,NE,-9.5,1.0
1.07,78.4,29.9,KC,W,JAX,-10.0,@LAC,-6.5,LAR,-7.0,@CIN,-1.5,@DEN,-6.0,@HOU,-13.5,SEA,-9.5,DEN,-9.5,@LV,-4.5,0.83670629806236
1.03,65.8,4.3,LV,L,IND,-4.5,@DEN,3.0,@SEA,3.0,LAC,-1.0,@LAR,4.0,NE,-1.5,@PIT,-1.5,SF,3.0,KC,4.5,0.043946993004875
1.01,62.7,0.4,LAR,L,ARI,-3.5,@NO,4.0,@KC,7.0,SEA,-3.5,LV,-4.0,@GB,3.0,DEN,-4.0,@LAC,2.0,@SEA,1.0,0.19052525391194
1.0,62.8,1.8,DAL,L,@GB,-4.0,@MIN,-1.0,NYG,-8.0,IND,-8.0,HOU,-13.5,@JAX,-4.0,PHI,-0.5,@TEN,-2.5,@WAS,-4.0,0.59762623839148
0.96,61.8,4.5,MIA,W,CLE,-3.0,BYE,,HOU,-11.0,@SF,4.0,@LAC,1.5,@BUF,7.5,GB,-3.5,@NE,1.0,NYJ,-6.5,0.30596058986766
0.94,59.5,2.5,CHI,L,DET,-2.5,@ATL,3.0,@NYJ,3.5,GB,3.0,BYE,,PHI,7.0,BUF,11.0,@DET,2.0,MIN,5.5,0.0
0.92,57.6,1.5,ATL,L,@CAR,-2.5,CHI,-3.0,@WAS,3.0,PIT,-3.0,BYE,,@NO,3.5,@BAL,9.5,ARI,-1.0,TB,3.5,0.10361306078224
0.89,56.4,3.2,TB,W,SEA,-2.5,BYE,,@CLE,-3.0,NO,-6.5,@SF,3.5,CIN,-2.0,@ARI,-2.5,CAR,-9.5,@ATL,-3.5,0.36916481104213
0.88,67.5,29.0,NYG,W,HOU,-5.5,DET,-3.0,@DAL,8.0,WAS,-3.0,PHI,6.5,@WAS,2.5,@MIN,7.5,IND,-3.5,@PHI,10.0,0.13795340025034
0.87,55.1,2.4,TEN,W,DEN,-2.5,@GB,3.0,CIN,1.5,@PHI,7.5,JAX,-4.0,@LAC,3.0,HOU,-8.0,DAL,2.5,@JAX,-1.0,0.20788949147947
0.82,50.5,0.3,PIT,W,NO,1.0,CIN,4.5,@IND,3.0,@ATL,3.0,BAL,6.5,@CAR,2.0,LV,1.5,@BAL,9.5,CLE,3.0,0.0
0.8,49.5,0.7,NO,L,@PIT,-1.0,LAR,-4.0,@SF,7.0,@TB,6.5,BYE,,ATL,-3.5,@CLE,4.0,@PHI,9.5,CAR,-5.0,0.2078964475913
0.74,44.9,0.2,DEN,L,@TEN,2.5,LV,-3.0,@CAR,-2.0,@BAL,7.0,KC,6.0,ARI,-3.0,@LAR,4.0,@KC,9.5,LAC,-0.5,0.093868106600902
0.73,32.5,0.1,HOU,L,@NYG,5.5,WAS,3.5,@MIA,11.0,CLE,5.0,@DAL,13.5,KC,13.5,@TEN,8.0,JAX,3.0,@IND,6.0,0.0
0.73,43.6,0.3,SEA,L,@TB,2.5,BYE,,LV,-3.0,@LAR,3.5,CAR,-6.5,SF,3.0,@KC,9.5,NYJ,-3.5,LAR,-1.0,0.20944530651182
0.69,42.4,0.7,CAR,W,ATL,2.5,@BAL,13.0,DEN,2.0,BYE,,@SEA,6.5,PIT,-2.0,DET,-2.0,@TB,9.5,@NO,5.0,0.045278663848406
0.67,40.5,0.4,DET,W,@CHI,2.5,@NYG,3.0,BUF,11.0,JAX,-1.5,MIN,6.0,@NYJ,4.0,@CAR,2.0,CHI,-2.0,@GB,6.5,0.03625220724105
0.65,38.2,0.1,CLE,L,@MIA,3.0,@BUF,8.5,TB,3.0,@HOU,-5.0,@CIN,4.0,BAL,2.0,NO,-4.0,@WAS,-1.5,@PIT,-3.0,0.20137812757862
0.61,37.2,0.1,GB,W,DAL,4.0,TEN,-3.0,@PHI,7.0,@CHI,-3.0,BYE,,LAR,-3.0,@MIA,3.5,MIN,1.5,DET,-6.5,0.21492391299469
0.6,37.3,0.1,ARI,W,@LAR,3.5,SF,8.5,LAC,-0.5,BYE,,NE,-1.5,@DEN,3.0,TB,2.5,@ATL,1.0,@SF,7.0,0.018656153358964
0.58,34.2,0.1,IND,W,@LV,4.5,PHI,6.5,PIT,-3.0,@DAL,8.0,BYE,,@MIN,8.0,LAC,2.5,@NYG,3.5,HOU,-6.0,0.13034992145065
0.54,21.6,0.0,JAX,L,@KC,10.0,BYE,,BAL,4.0,@DET,1.5,@TEN,4.0,DAL,4.0,@NYJ,3.0,@HOU,-3.0,TEN,1.0,0.032602974505233
0.54,32.8,0.1,MIN,W,@BUF,5.0,DAL,1.0,NE,-5.5,NYJ,-7.5,@DET,-6.0,IND,-8.0,NYG,-7.5,@GB,-1.5,@CHI,-5.5,0.62709279909171
0.44,23.3,0.1,LAC,L,@SF,8.5,KC,6.5,@ARI,0.5,@LV,1.0,MIA,-1.5,TEN,-3.0,@IND,-2.5,LAR,-2.0,@DEN,0.5,0.10178752777592
0.34,19.2,0.1,WAS,W,@PHI,11.0,@HOU,-3.5,ATL,-3.0,@NYG,3.0,BYE,,NYG,-2.5,@SF,9.0,CLE,1.5,DAL,4.0,0.12225454705132
,,0.0,BAL,,BYE,,CAR,-13.0,@JAX,-4.0,DEN,-7.0,@PIT,-6.5,@CLE,-2.0,ATL,-9.5,PIT,-9.5,@CIN,2.0,0.73116295739388
,,0.0,CIN,,BYE,,@PIT,-4.5,@TEN,-1.5,KC,1.5,CLE,-4.0,@TB,2.0,@NE,-1.5,BUF,3.0,BAL,-2.0,0.2013788369455
,,0.0,NE,,BYE,,NYJ,-3.5,@MIN,5.5,BUF,6.0,@ARI,1.5,@LV,1.5,CIN,1.5,MIA,-1.0,@BUF,9.5,0.061779323578631
,,0.0,NYJ,,BYE,,@NE,3.5,CHI,-3.5,@MIN,7.5,@BUF,13.5,DET,-4.0,JAX,-3.0,@SEA,3.5,@MIA,6.5,0.16883029468993
