EV,W_pct,P_pct,Team,Team_Result,1,1_spread,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.06,79.1,34.6,BAL,W,HOU,-10.0,@CIN,3.5,IND,-9.0,@CLE,1.0,@PIT,-1.0,@TEN,-5.0,DET,-3.0,@ARI,-7.0,SEA,-3.5,CLE,-3.5,CIN,0.5,@LAC,2.5,BYE,,LAR,-8.0,@JAX,1.0,@SF,3.5,MIA,-2.5,PIT,-4.0,0.59954615676787
1.03,65.3,4.8,SEA,L,LAR,-4.0,@DET,6.0,CAR,-6.0,@NYG,0.5,BYE,,@CIN,5.0,ARI,-8.0,CLE,-2.0,@BAL,3.5,WAS,-6.0,@LAR,-3.0,SF,2.0,@DAL,4.0,@SF,5.0,PHI,2.5,@TEN,-2.5,PIT,-2.5,@ARI,-5.0,0.43593721939246
1.02,64.6,4.6,KC,L,DET,-4.0,@JAX,-3.0,CHI,-9.5,@NYJ,-1.5,@MIN,-4.0,DEN,-7.5,LAC,-5.0,@DEN,-4.0,MIA,-4.5,BYE,,PHI,-3.0,@LV,-4.5,@GB,-5.0,BUF,-3.5,@NE,-5.0,LV,-8.0,CIN,-3.0,@LAC,-1.5,1.0
1.0,62.5,2.0,ATL,W,CAR,-3.5,GB,1.0,@DET,6.0,@JAX,4.0,HOU,-5.5,WAS,-4.0,@TB,-1.5,@TEN,0.5,MIN,0.5,@ARI,-3.0,BYE,,NO,0.5,@NYJ,6.5,TB,-3.5,@CAR,-0.5,IND,-4.0,@CHI,1.5,@NO,3.0,0.29171213979791
1.0,62.8,2.5,PHI,W,@NE,-3.5,MIN,-7.0,@TB,-7.0,WAS,-8.0,@LAR,-7.0,@NYJ,-0.5,MIA,-4.0,@WAS,-5.5,DAL,-3.0,BYE,,@KC,3.0,BUF,-3.0,SF,-3.0,@DAL,1.5,@SEA,-2.5,NYG,-8.0,ARI,-11.5,@NYG,-3.5,0.95444846169341
0.98,72.5,27.1,WAS,W,ARI,-7.0,@DEN,3.5,BUF,6.0,@PHI,8.0,CHI,-1.5,@ATL,4.0,@NYG,3.0,PHI,5.5,@NE,4.0,@SEA,6.0,NYG,1.5,@DAL,7.0,MIA,4.0,BYE,,@LAR,1.5,@NYJ,7.0,SF,4.5,DAL,4.0,0.012140277433286
0.98,60.4,0.6,DAL,W,@NYG,-3.0,NYJ,-8.5,@ARI,-7.5,NE,-6.0,@SF,3.0,@LAC,1.5,BYE,,LAR,-8.0,@PHI,3.0,NYG,-6.5,@CAR,-4.5,WAS,-7.0,SEA,-4.0,PHI,-1.5,@BUF,4.0,@MIA,1.5,DET,-3.5,@WAS,-4.0,0.83566776812788
0.98,63.2,6.2,JAX,W,@IND,-3.5,KC,3.0,HOU,-8.0,ATL,-4.0,@BUF,4.0,IND,-7.0,@NO,1.5,@PIT,1.5,BYE,,SF,1.5,TEN,-6.0,@HOU,-6.0,CIN,1.5,@CLE,2.5,BAL,-1.0,@TB,-3.5,CAR,-6.5,@TEN,-3.0,0.60630495904577
0.98,60.0,0.4,LAC,L,MIA,-3.0,@TEN,-3.0,@MIN,-1.5,LV,-6.0,BYE,,DAL,-1.5,@KC,5.0,CHI,-6.5,@NYJ,3.0,DET,-3.0,@GB,-3.0,BAL,-2.5,@NE,-2.5,DEN,-4.0,@LV,-3.0,BUF,1.0,@DEN,-0.5,KC,1.5,0.42912684149416
0.98,65.2,10.4,MIN,L,TB,-4.0,@PHI,7.0,LAC,1.5,@CAR,-3.0,KC,4.0,@CHI,-1.5,SF,3.0,@GB,-0.5,@ATL,-0.5,NO,-3.0,@DEN,1.5,CHI,-4.0,BYE,,@LV,-1.0,@CIN,5.5,DET,-0.5,GB,-3.5,@DET,3.0,0.19114693368042
