EV,W_pct,P_pct,Team,Team_Result,18,18_spread,Future_Val
1.42,84.9,7.5,DAL,W,@WAS,-13.5,
1.2,75.1,13.4,CIN,W,CLE,-7.5,
1.17,69.1,0.8,SF,L,LAR,-5.5,
1.12,66.5,2.3,PHI,L,@NYG,-5.5,
1.09,64.4,2.0,DET,W,MIN,-4.0,
1.06,62.1,0.5,LAC,L,KC,-3.0,
1.03,62.2,4.0,JAX,L,@TEN,-3.5,
1.02,59.1,1.9,PIT,W,@BAL,-3.0,
1.0,62.1,7.7,LV,W,DEN,-3.0,
0.99,60.0,3.9,NO,W,ATL,-3.0,
0.98,57.4,1.0,SEA,W,@ARI,-3.0,
0.97,56.9,0.4,BUF,W,@MIA,-3.0,
0.94,66.1,25.4,TB,W,@CAR,-3.5,
0.94,55.8,2.4,NE,L,NYJ,-2.0,
0.9,52.5,1.4,HOU,W,@IND,-1.0,
0.86,57.4,15.2,GB,W,CHI,-3.0,
0.84,42.6,0.5,CHI,L,@GB,3.0,
0.81,47.5,1.7,IND,L,HOU,1.0,
0.77,44.2,1.1,NYJ,W,@NE,2.0,
0.76,33.9,1.1,CAR,L,TB,3.5,
0.74,43.1,0.2,MIA,L,BUF,3.0,
0.73,42.6,0.4,ARI,L,SEA,3.0,
0.71,40.0,0.2,ATL,L,@NO,3.0,
0.7,37.9,0.4,DEN,L,@LV,3.0,
0.69,40.9,2.7,BAL,L,PIT,3.0,
0.68,37.8,0.2,TEN,W,JAX,3.5,
0.65,37.9,0.7,KC,W,@LAC,3.0,
0.62,35.6,0.1,MIN,L,@DET,4.0,
0.59,33.5,0.3,NYG,W,PHI,5.5,
0.53,30.9,0.0,LAR,W,@SF,5.5,
0.51,24.9,0.5,CLE,L,@CIN,7.5,
0.29,15.1,0.1,WAS,L,DAL,13.5,
